sex,education,age,partner_state,lead_partner_state,proportion
Men,Low Education,37,Retired Partner,Retired Partner,1.0
Men,Low Education,38,Single,Single,0.5
Men,Low Education,38,Single,Working Partner,0.5
Men,Low Education,38,Single,Retired Partner,0.0
Men,Low Education,38,Working Partner,Single,0.5
Men,Low Education,38,Working Partner,Working Partner,0.5
Men,Low Education,38,Working Partner,Retired Partner,0.0
Men,Low Education,38,Retired Partner,Single,0.0
Men,Low Education,38,Retired Partner,Working Partner,0.0
Men,Low Education,38,Retired Partner,Retired Partner,1.0
Men,Low Education,39,Single,Single,0.5
Men,Low Education,39,Single,Working Partner,0.5
Men,Low Education,39,Single,Retired Partner,0.0
Men,Low Education,39,Working Partner,Single,0.5
Men,Low Education,39,Working Partner,Working Partner,0.5
Men,Low Education,39,Working Partner,Retired Partner,0.0
Men,Low Education,39,Retired Partner,Single,0.0
Men,Low Education,39,Retired Partner,Working Partner,0.0
Men,Low Education,39,Retired Partner,Retired Partner,1.0
Men,Low Education,40,Single,Single,0.5
Men,Low Education,40,Single,Working Partner,0.5
Men,Low Education,40,Single,Retired Partner,0.0
Men,Low Education,40,Working Partner,Single,0.5
Men,Low Education,40,Working Partner,Working Partner,0.5
Men,Low Education,40,Working Partner,Retired Partner,0.0
Men,Low Education,40,Retired Partner,Single,0.0
Men,Low Education,40,Retired Partner,Working Partner,0.0
Men,Low Education,40,Retired Partner,Retired Partner,1.0
Men,Low Education,41,Single,Single,0.3333333333333333
Men,Low Education,41,Single,Working Partner,0.3333333333333333
Men,Low Education,41,Single,Retired Partner,0.3333333333333333
Men,Low Education,41,Working Partner,Single,0.3333333333333333
Men,Low Education,41,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,41,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,41,Retired Partner,Single,0.0
Men,Low Education,41,Retired Partner,Working Partner,0.0
Men,Low Education,41,Retired Partner,Retired Partner,1.0
Men,Low Education,42,Single,Single,0.3333333333333333
Men,Low Education,42,Single,Working Partner,0.3333333333333333
Men,Low Education,42,Single,Retired Partner,0.3333333333333333
Men,Low Education,42,Working Partner,Single,0.3333333333333333
Men,Low Education,42,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,42,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,42,Retired Partner,Single,0.0
Men,Low Education,42,Retired Partner,Working Partner,0.0
Men,Low Education,42,Retired Partner,Retired Partner,1.0
Men,Low Education,43,Single,Single,0.3333333333333333
Men,Low Education,43,Single,Working Partner,0.3333333333333333
Men,Low Education,43,Single,Retired Partner,0.3333333333333333
Men,Low Education,43,Working Partner,Single,0.3333333333333333
Men,Low Education,43,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,43,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,43,Retired Partner,Single,0.0
Men,Low Education,43,Retired Partner,Working Partner,0.0
Men,Low Education,43,Retired Partner,Retired Partner,1.0
Men,Low Education,44,Single,Single,0.3333333333333333
Men,Low Education,44,Single,Working Partner,0.3333333333333333
Men,Low Education,44,Single,Retired Partner,0.3333333333333333
Men,Low Education,44,Working Partner,Single,0.3333333333333333
Men,Low Education,44,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,44,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,44,Retired Partner,Single,0.0
Men,Low Education,44,Retired Partner,Working Partner,0.0
Men,Low Education,44,Retired Partner,Retired Partner,1.0
Men,Low Education,45,Single,Single,0.3333333333333333
Men,Low Education,45,Single,Working Partner,0.3333333333333333
Men,Low Education,45,Single,Retired Partner,0.3333333333333333
Men,Low Education,45,Working Partner,Single,0.3333333333333333
Men,Low Education,45,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,45,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,45,Retired Partner,Single,0.0
Men,Low Education,45,Retired Partner,Working Partner,0.0
Men,Low Education,45,Retired Partner,Retired Partner,1.0
Men,Low Education,46,Single,Single,0.3333333333333333
Men,Low Education,46,Single,Working Partner,0.3333333333333333
Men,Low Education,46,Single,Retired Partner,0.3333333333333333
Men,Low Education,46,Working Partner,Single,0.3333333333333333
Men,Low Education,46,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,46,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,46,Retired Partner,Single,0.0
Men,Low Education,46,Retired Partner,Working Partner,0.0
Men,Low Education,46,Retired Partner,Retired Partner,1.0
Men,Low Education,47,Single,Single,0.3333333333333333
Men,Low Education,47,Single,Working Partner,0.3333333333333333
Men,Low Education,47,Single,Retired Partner,0.3333333333333333
Men,Low Education,47,Working Partner,Single,0.3333333333333333
Men,Low Education,47,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,47,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,47,Retired Partner,Single,0.0
Men,Low Education,47,Retired Partner,Working Partner,0.0
Men,Low Education,47,Retired Partner,Retired Partner,1.0
Men,Low Education,48,Single,Single,0.3333333333333333
Men,Low Education,48,Single,Working Partner,0.3333333333333333
Men,Low Education,48,Single,Retired Partner,0.3333333333333333
Men,Low Education,48,Working Partner,Single,0.3333333333333333
Men,Low Education,48,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,48,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,48,Retired Partner,Single,0.0
Men,Low Education,48,Retired Partner,Working Partner,0.0
Men,Low Education,48,Retired Partner,Retired Partner,1.0
Men,Low Education,49,Single,Single,0.3333333333333333
Men,Low Education,49,Single,Working Partner,0.3333333333333333
Men,Low Education,49,Single,Retired Partner,0.3333333333333333
Men,Low Education,49,Working Partner,Single,0.3333333333333333
Men,Low Education,49,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,49,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,49,Retired Partner,Single,0.0
Men,Low Education,49,Retired Partner,Working Partner,0.0
Men,Low Education,49,Retired Partner,Retired Partner,1.0
Men,Low Education,50,Single,Single,0.3333333333333333
Men,Low Education,50,Single,Working Partner,0.3333333333333333
Men,Low Education,50,Single,Retired Partner,0.3333333333333333
Men,Low Education,50,Working Partner,Single,0.3333333333333333
Men,Low Education,50,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,50,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,50,Retired Partner,Single,0.0
Men,Low Education,50,Retired Partner,Working Partner,0.0
Men,Low Education,50,Retired Partner,Retired Partner,1.0
Men,Low Education,51,Single,Single,0.3333333333333333
Men,Low Education,51,Single,Working Partner,0.3333333333333333
Men,Low Education,51,Single,Retired Partner,0.3333333333333333
Men,Low Education,51,Working Partner,Single,0.3333333333333333
Men,Low Education,51,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,51,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,51,Retired Partner,Single,0.0
Men,Low Education,51,Retired Partner,Working Partner,0.0
Men,Low Education,51,Retired Partner,Retired Partner,1.0
Men,Low Education,52,Single,Single,0.3333333333333333
Men,Low Education,52,Single,Working Partner,0.3333333333333333
Men,Low Education,52,Single,Retired Partner,0.3333333333333333
Men,Low Education,52,Working Partner,Single,0.3333333333333333
Men,Low Education,52,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,52,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,52,Retired Partner,Single,0.0
Men,Low Education,52,Retired Partner,Working Partner,0.0
Men,Low Education,52,Retired Partner,Retired Partner,1.0
Men,Low Education,53,Single,Single,0.3333333333333333
Men,Low Education,53,Single,Working Partner,0.3333333333333333
Men,Low Education,53,Single,Retired Partner,0.3333333333333333
Men,Low Education,53,Working Partner,Single,0.3333333333333333
Men,Low Education,53,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,53,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,53,Retired Partner,Single,0.0
Men,Low Education,53,Retired Partner,Working Partner,0.0
Men,Low Education,53,Retired Partner,Retired Partner,1.0
Men,Low Education,54,Single,Single,0.3333333333333333
Men,Low Education,54,Single,Working Partner,0.3333333333333333
Men,Low Education,54,Single,Retired Partner,0.3333333333333333
Men,Low Education,54,Working Partner,Single,0.3333333333333333
Men,Low Education,54,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,54,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,54,Retired Partner,Single,0.0
Men,Low Education,54,Retired Partner,Working Partner,0.0
Men,Low Education,54,Retired Partner,Retired Partner,1.0
Men,Low Education,55,Single,Single,0.3333333333333333
Men,Low Education,55,Single,Working Partner,0.3333333333333333
Men,Low Education,55,Single,Retired Partner,0.3333333333333333
Men,Low Education,55,Working Partner,Single,0.3333333333333333
Men,Low Education,55,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,55,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,55,Retired Partner,Single,0.0
Men,Low Education,55,Retired Partner,Working Partner,0.0
Men,Low Education,55,Retired Partner,Retired Partner,1.0
Men,Low Education,56,Single,Single,0.3333333333333333
Men,Low Education,56,Single,Working Partner,0.3333333333333333
Men,Low Education,56,Single,Retired Partner,0.3333333333333333
Men,Low Education,56,Working Partner,Single,0.3333333333333333
Men,Low Education,56,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,56,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,56,Retired Partner,Single,0.0
Men,Low Education,56,Retired Partner,Working Partner,0.0
Men,Low Education,56,Retired Partner,Retired Partner,1.0
Men,Low Education,57,Single,Single,0.3333333333333333
Men,Low Education,57,Single,Working Partner,0.3333333333333333
Men,Low Education,57,Single,Retired Partner,0.3333333333333333
Men,Low Education,57,Working Partner,Single,0.3333333333333333
Men,Low Education,57,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,57,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,57,Retired Partner,Single,0.0
Men,Low Education,57,Retired Partner,Working Partner,0.0
Men,Low Education,57,Retired Partner,Retired Partner,1.0
Men,Low Education,58,Single,Single,0.3333333333333333
Men,Low Education,58,Single,Working Partner,0.3333333333333333
Men,Low Education,58,Single,Retired Partner,0.3333333333333333
Men,Low Education,58,Working Partner,Single,0.3333333333333333
Men,Low Education,58,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,58,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,58,Retired Partner,Single,0.0
Men,Low Education,58,Retired Partner,Working Partner,0.0
Men,Low Education,58,Retired Partner,Retired Partner,1.0
Men,Low Education,59,Single,Single,0.3333333333333333
Men,Low Education,59,Single,Working Partner,0.3333333333333333
Men,Low Education,59,Single,Retired Partner,0.3333333333333333
Men,Low Education,59,Working Partner,Single,0.3333333333333333
Men,Low Education,59,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,59,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,59,Retired Partner,Single,0.0
Men,Low Education,59,Retired Partner,Working Partner,0.0
Men,Low Education,59,Retired Partner,Retired Partner,1.0
Men,Low Education,60,Single,Single,0.3333333333333333
Men,Low Education,60,Single,Working Partner,0.3333333333333333
Men,Low Education,60,Single,Retired Partner,0.3333333333333333
Men,Low Education,60,Working Partner,Single,0.3333333333333333
Men,Low Education,60,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,60,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,60,Retired Partner,Single,0.0
Men,Low Education,60,Retired Partner,Working Partner,0.0
Men,Low Education,60,Retired Partner,Retired Partner,1.0
Men,Low Education,61,Single,Single,0.3333333333333333
Men,Low Education,61,Single,Working Partner,0.3333333333333333
Men,Low Education,61,Single,Retired Partner,0.3333333333333333
Men,Low Education,61,Working Partner,Single,0.3333333333333333
Men,Low Education,61,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,61,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,61,Retired Partner,Single,0.0
Men,Low Education,61,Retired Partner,Working Partner,0.0
Men,Low Education,61,Retired Partner,Retired Partner,1.0
Men,Low Education,62,Single,Single,0.3333333333333333
Men,Low Education,62,Single,Working Partner,0.3333333333333333
Men,Low Education,62,Single,Retired Partner,0.3333333333333333
Men,Low Education,62,Working Partner,Single,0.3333333333333333
Men,Low Education,62,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,62,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,62,Retired Partner,Single,0.0
Men,Low Education,62,Retired Partner,Working Partner,0.0
Men,Low Education,62,Retired Partner,Retired Partner,1.0
Men,Low Education,63,Single,Single,0.3333333333333333
Men,Low Education,63,Single,Working Partner,0.3333333333333333
Men,Low Education,63,Single,Retired Partner,0.3333333333333333
Men,Low Education,63,Working Partner,Single,0.3333333333333333
Men,Low Education,63,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,63,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,63,Retired Partner,Single,0.0
Men,Low Education,63,Retired Partner,Working Partner,0.0
Men,Low Education,63,Retired Partner,Retired Partner,1.0
Men,Low Education,64,Single,Single,0.3333333333333333
Men,Low Education,64,Single,Working Partner,0.3333333333333333
Men,Low Education,64,Single,Retired Partner,0.3333333333333333
Men,Low Education,64,Working Partner,Single,0.3333333333333333
Men,Low Education,64,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,64,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,64,Retired Partner,Single,0.0
Men,Low Education,64,Retired Partner,Working Partner,0.0
Men,Low Education,64,Retired Partner,Retired Partner,1.0
Men,Low Education,65,Single,Single,0.3333333333333333
Men,Low Education,65,Single,Working Partner,0.3333333333333333
Men,Low Education,65,Single,Retired Partner,0.3333333333333333
Men,Low Education,65,Working Partner,Single,0.3333333333333333
Men,Low Education,65,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,65,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,65,Retired Partner,Single,0.0
Men,Low Education,65,Retired Partner,Working Partner,0.0
Men,Low Education,65,Retired Partner,Retired Partner,1.0
Men,Low Education,66,Single,Single,0.3333333333333333
Men,Low Education,66,Single,Working Partner,0.3333333333333333
Men,Low Education,66,Single,Retired Partner,0.3333333333333333
Men,Low Education,66,Working Partner,Single,0.3333333333333333
Men,Low Education,66,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,66,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,66,Retired Partner,Single,0.0
Men,Low Education,66,Retired Partner,Working Partner,0.0
Men,Low Education,66,Retired Partner,Retired Partner,1.0
Men,Low Education,67,Single,Single,0.3333333333333333
Men,Low Education,67,Single,Working Partner,0.3333333333333333
Men,Low Education,67,Single,Retired Partner,0.3333333333333333
Men,Low Education,67,Working Partner,Single,0.3333333333333333
Men,Low Education,67,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,67,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,67,Retired Partner,Single,0.0
Men,Low Education,67,Retired Partner,Working Partner,0.0
Men,Low Education,67,Retired Partner,Retired Partner,1.0
Men,Low Education,68,Single,Single,0.3333333333333333
Men,Low Education,68,Single,Working Partner,0.3333333333333333
Men,Low Education,68,Single,Retired Partner,0.3333333333333333
Men,Low Education,68,Working Partner,Single,0.3333333333333333
Men,Low Education,68,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,68,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,68,Retired Partner,Single,0.0
Men,Low Education,68,Retired Partner,Working Partner,0.0
Men,Low Education,68,Retired Partner,Retired Partner,1.0
Men,Low Education,69,Single,Single,0.3333333333333333
Men,Low Education,69,Single,Working Partner,0.3333333333333333
Men,Low Education,69,Single,Retired Partner,0.3333333333333333
Men,Low Education,69,Working Partner,Single,0.3333333333333333
Men,Low Education,69,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,69,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,69,Retired Partner,Single,0.0
Men,Low Education,69,Retired Partner,Working Partner,0.0
Men,Low Education,69,Retired Partner,Retired Partner,1.0
Men,Low Education,70,Single,Single,0.3333333333333333
Men,Low Education,70,Single,Working Partner,0.3333333333333333
Men,Low Education,70,Single,Retired Partner,0.3333333333333333
Men,Low Education,70,Working Partner,Single,0.3333333333333333
Men,Low Education,70,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,70,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,70,Retired Partner,Single,0.0
Men,Low Education,70,Retired Partner,Working Partner,0.0
Men,Low Education,70,Retired Partner,Retired Partner,1.0
Men,Low Education,71,Single,Single,0.3333333333333333
Men,Low Education,71,Single,Working Partner,0.3333333333333333
Men,Low Education,71,Single,Retired Partner,0.3333333333333333
Men,Low Education,71,Working Partner,Single,0.3333333333333333
Men,Low Education,71,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,71,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,71,Retired Partner,Single,0.0
Men,Low Education,71,Retired Partner,Working Partner,0.0
Men,Low Education,71,Retired Partner,Retired Partner,1.0
Men,Low Education,72,Single,Single,0.3333333333333333
Men,Low Education,72,Single,Working Partner,0.3333333333333333
Men,Low Education,72,Single,Retired Partner,0.3333333333333333
Men,Low Education,72,Working Partner,Single,0.3333333333333333
Men,Low Education,72,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,72,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,72,Retired Partner,Single,0.0
Men,Low Education,72,Retired Partner,Working Partner,0.0
Men,Low Education,72,Retired Partner,Retired Partner,1.0
Men,Low Education,73,Single,Single,0.3333333333333333
Men,Low Education,73,Single,Working Partner,0.3333333333333333
Men,Low Education,73,Single,Retired Partner,0.3333333333333333
Men,Low Education,73,Working Partner,Single,0.3333333333333333
Men,Low Education,73,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,73,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,73,Retired Partner,Single,0.0
Men,Low Education,73,Retired Partner,Working Partner,0.0
Men,Low Education,73,Retired Partner,Retired Partner,1.0
Men,Low Education,74,Single,Single,0.3333333333333333
Men,Low Education,74,Single,Working Partner,0.3333333333333333
Men,Low Education,74,Single,Retired Partner,0.3333333333333333
Men,Low Education,74,Working Partner,Single,0.3333333333333333
Men,Low Education,74,Working Partner,Working Partner,0.3333333333333333
Men,Low Education,74,Working Partner,Retired Partner,0.3333333333333333
Men,Low Education,74,Retired Partner,Single,0.0
Men,Low Education,74,Retired Partner,Working Partner,0.0
Men,Low Education,74,Retired Partner,Retired Partner,1.0
Men,Low Education,75,Single,Single,1.0
Men,Low Education,75,Single,Working Partner,0.0
Men,Low Education,75,Single,Retired Partner,0.0
Men,Low Education,75,Working Partner,Single,0.0
Men,Low Education,75,Working Partner,Working Partner,0.0
Men,Low Education,75,Working Partner,Retired Partner,1.0
Men,Low Education,75,Retired Partner,Single,0.0
Men,Low Education,75,Retired Partner,Working Partner,0.0
Men,Low Education,75,Retired Partner,Retired Partner,1.0
Men,Low Education,76,Single,Single,1.0
Men,Low Education,76,Single,Working Partner,0.0
Men,Low Education,76,Single,Retired Partner,0.0
Men,Low Education,76,Working Partner,Single,0.0
Men,Low Education,76,Working Partner,Working Partner,0.0
Men,Low Education,76,Working Partner,Retired Partner,1.0
Men,Low Education,76,Retired Partner,Single,0.0
Men,Low Education,76,Retired Partner,Working Partner,0.0
Men,Low Education,76,Retired Partner,Retired Partner,1.0
Men,Low Education,77,Single,Single,1.0
Men,Low Education,77,Single,Working Partner,0.0
Men,Low Education,77,Single,Retired Partner,0.0
Men,Low Education,77,Working Partner,Single,0.0
Men,Low Education,77,Working Partner,Working Partner,0.0
Men,Low Education,77,Working Partner,Retired Partner,1.0
Men,Low Education,77,Retired Partner,Single,0.0
Men,Low Education,77,Retired Partner,Working Partner,0.0
Men,Low Education,77,Retired Partner,Retired Partner,1.0
Men,Low Education,78,Single,Single,1.0
Men,Low Education,78,Single,Working Partner,0.0
Men,Low Education,78,Single,Retired Partner,0.0
Men,Low Education,78,Working Partner,Single,0.0
Men,Low Education,78,Working Partner,Working Partner,0.0
Men,Low Education,78,Working Partner,Retired Partner,1.0
Men,Low Education,78,Retired Partner,Single,0.0
Men,Low Education,78,Retired Partner,Working Partner,0.0
Men,Low Education,78,Retired Partner,Retired Partner,1.0
Men,Low Education,79,Single,Single,1.0
Men,Low Education,79,Single,Working Partner,0.0
Men,Low Education,79,Single,Retired Partner,0.0
Men,Low Education,79,Working Partner,Single,0.0
Men,Low Education,79,Working Partner,Working Partner,0.0
Men,Low Education,79,Working Partner,Retired Partner,1.0
Men,Low Education,79,Retired Partner,Single,0.0
Men,Low Education,79,Retired Partner,Working Partner,0.0
Men,Low Education,79,Retired Partner,Retired Partner,1.0
Men,Low Education,80,Single,Single,1.0
Men,Low Education,80,Single,Working Partner,0.0
Men,Low Education,80,Single,Retired Partner,0.0
Men,Low Education,80,Working Partner,Single,0.0
Men,Low Education,80,Working Partner,Working Partner,0.0
Men,Low Education,80,Working Partner,Retired Partner,1.0
Men,Low Education,80,Retired Partner,Single,0.0
Men,Low Education,80,Retired Partner,Working Partner,0.0
Men,Low Education,80,Retired Partner,Retired Partner,1.0
Men,Low Education,81,Single,Single,1.0
Men,Low Education,81,Single,Working Partner,0.0
Men,Low Education,81,Single,Retired Partner,0.0
Men,Low Education,81,Working Partner,Single,0.0
Men,Low Education,81,Working Partner,Working Partner,0.0
Men,Low Education,81,Working Partner,Retired Partner,1.0
Men,Low Education,81,Retired Partner,Single,0.0
Men,Low Education,81,Retired Partner,Working Partner,0.0
Men,Low Education,81,Retired Partner,Retired Partner,1.0
Men,Low Education,82,Single,Single,1.0
Men,Low Education,82,Single,Working Partner,0.0
Men,Low Education,82,Single,Retired Partner,0.0
Men,Low Education,82,Working Partner,Single,0.0
Men,Low Education,82,Working Partner,Working Partner,0.0
Men,Low Education,82,Working Partner,Retired Partner,1.0
Men,Low Education,82,Retired Partner,Single,0.0
Men,Low Education,82,Retired Partner,Working Partner,0.0
Men,Low Education,82,Retired Partner,Retired Partner,1.0
Men,Low Education,83,Single,Single,1.0
Men,Low Education,83,Single,Working Partner,0.0
Men,Low Education,83,Single,Retired Partner,0.0
Men,Low Education,83,Working Partner,Single,0.0
Men,Low Education,83,Working Partner,Working Partner,0.0
Men,Low Education,83,Working Partner,Retired Partner,1.0
Men,Low Education,83,Retired Partner,Single,0.0
Men,Low Education,83,Retired Partner,Working Partner,0.0
Men,Low Education,83,Retired Partner,Retired Partner,1.0
Men,Low Education,84,Single,Single,1.0
Men,Low Education,84,Single,Working Partner,0.0
Men,Low Education,84,Single,Retired Partner,0.0
Men,Low Education,84,Working Partner,Single,0.0
Men,Low Education,84,Working Partner,Working Partner,0.0
Men,Low Education,84,Working Partner,Retired Partner,1.0
Men,Low Education,84,Retired Partner,Single,0.0
Men,Low Education,84,Retired Partner,Working Partner,0.0
Men,Low Education,84,Retired Partner,Retired Partner,1.0
Men,Low Education,85,Single,Single,1.0
Men,Low Education,85,Single,Working Partner,0.0
Men,Low Education,85,Single,Retired Partner,0.0
Men,Low Education,85,Working Partner,Single,0.0
Men,Low Education,85,Working Partner,Working Partner,0.0
Men,Low Education,85,Working Partner,Retired Partner,1.0
Men,Low Education,85,Retired Partner,Single,0.0
Men,Low Education,85,Retired Partner,Working Partner,0.0
Men,Low Education,85,Retired Partner,Retired Partner,1.0
Men,Low Education,86,Single,Single,1.0
Men,Low Education,86,Single,Working Partner,0.0
Men,Low Education,86,Single,Retired Partner,0.0
Men,Low Education,86,Working Partner,Single,0.0
Men,Low Education,86,Working Partner,Working Partner,0.0
Men,Low Education,86,Working Partner,Retired Partner,1.0
Men,Low Education,86,Retired Partner,Single,0.0
Men,Low Education,86,Retired Partner,Working Partner,0.0
Men,Low Education,86,Retired Partner,Retired Partner,1.0
Men,Low Education,87,Single,Single,1.0
Men,Low Education,87,Single,Working Partner,0.0
Men,Low Education,87,Single,Retired Partner,0.0
Men,Low Education,87,Working Partner,Single,0.0
Men,Low Education,87,Working Partner,Working Partner,0.0
Men,Low Education,87,Working Partner,Retired Partner,1.0
Men,Low Education,87,Retired Partner,Single,0.0
Men,Low Education,87,Retired Partner,Working Partner,0.0
Men,Low Education,87,Retired Partner,Retired Partner,1.0
Men,Low Education,88,Single,Single,1.0
Men,Low Education,88,Single,Working Partner,0.0
